"AU_s_11_lemmat" "AU_s_142DVD_lemmat" "AU_s_168_CCSL41Bb_lemmat" "AU_s_178_lemmat" "AU_s_211_lemmat" "AU_s_32A1_lemmat" "AU_s_351_lemmat" "AU_s_393_B_lemmat" "AU_s_42A1_lemmat" "AU_s_50A1_lemmat" "AU_s_58_lemmat" "AU_s_59_lemmat" "AU_s_9_lemmat" "AU_s_96_lemmat" "AU_s_Frangip2_lemmat" "CAE_[AU_s_40]_lemmat" "CAE_AU_s_168_qfr_lemmat" "CAE_AU_s_178_BNFlat12202_lemmat" "CAE_AU_s_211Q_lemmat" "CAE_AU_s_32Q_lemmat" "CAE_AU_s_393_A_lemmat" "CAE_AU_s_42Q2_lemmat" "CAE_AU_s_50Q2_lemmat" "CAE_AU_s_58Q_lemmat" "CAE_AU-s-142Q_lemmat" "CAE_CAE_s_100A_lemmat" "CAE_CAE_s_109_lemmat" "CAE_CAE_s_124_lemmat" "CAE_CAE_s_140_BNFlat12202_lemmat" "CAE_CAE_s_142_lemmat" "CAE_CAE_s_147_lemmat" "CAE_CAE_s_159_lemmat" "CAE_CAE_s_183_BNFlat12202_lemmat" "CAE_CAE_s_185_lemmat" "CAE_CAE_s_210_lemmat" "CAE_CAE_s_231_lemmat" "CAE_CAE_s_35_lemmat" "CAE_CAE_s_63_lemmat"
"quia" 0.861008610086101 0.703794369645043 0.86687306501548 0.663423264042459 0.69052102950408 0.513898621817332 1.13207547169811 0.581395348837209 0.341296928327645 0.587741393786734 0.61022120518688 0.760456273764259 1.05173393973849 0.550275137568784 0.60257463708573 0.816326530612245 0.872274143302181 0.726022162781811 0.641848523748395 0.446428571428571 0.623052959501558 0.26246719160105 0.702370500438982 0.618477000386548 0.70160957490714 0.283553875236295 0.511073253833049 0.646725949878739 1.04923325262308 1.12994350282486 0.754310344827586 0.607111882046834 0.490883590462833 0.713153724247227 1.13207547169811 0.460829493087558 1.14176974310181 0.691562932226833
"enim" 0.738007380073801 0.887392900856793 1.11455108359133 0.619195046439629 0.627746390458255 0.630693763139453 0.849056603773585 0.581395348837209 1.02389078498294 0.881612090680101 0.68649885583524 0.836501901140684 0.781694144400227 0.900450225112556 0.383456587236374 0.244897959183673 1.1214953271028 0.573175391669851 0.641848523748395 0.357142857142857 0.467289719626168 1.0498687664042 0.351185250219491 0.695786625434867 0.907965332232769 0.756143667296786 0.851788756388416 1.21261115602264 0.161420500403551 0.0807102502017756 0.754310344827586 1.21422376409367 0.91164095371669 0.63391442155309 0.849056603773585 0.460829493087558 0.666032350142721 0.4149377593361
"nos" 0.2460024600246 0.520195838433293 0.804953560371517 0.353825740822645 1.12994350282486 0.256949310908666 0.660377358490566 0.348837209302326 0.341296928327645 0.0419815281276238 1.906941266209 2.66159695817491 0.312677657760091 0.200100050025012 0.876472199397425 0.489795918367347 0.809968847352025 0.305693542223921 1.02695763799743 0.178571428571429 0.311526479750779 0.393700787401575 0.0877963125548727 1.97139543873212 0.495253817581511 0 1.10732538330494 0.161681487469685 0 0.322841000807102 3.66379310344828 0.780572419774501 0.561009817671809 1.18858954041204 0.660377358490566 1.10599078341014 1.33206470028544 0.691562932226833
"de" 0.984009840098401 0.214198286413709 0.43343653250774 1.0172490048651 0.502197112366604 0.957720158841392 1.0377358490566 0.930232558139535 0.511945392491468 1.09151973131822 0.49580472921434 0.228136882129278 0.383740761796475 0.300150075037519 0.712133662010408 0.653061224489796 0.43613707165109 1.10813909056171 0.577663671373556 1.51785714285714 0.778816199376947 0.656167979002625 1.05355575065847 0.463857750289911 0.288898060255881 0.56710775047259 1.10732538330494 0.889248181083266 0.645682001614205 1.53349475383374 0.107758620689655 0.607111882046834 1.7531556802244 0.554675118858954 1.0377358490566 1.19815668202765 0.475737392959087 0.968188105117566
"cum" 1.5990159901599 0.367197062423501 0.928792569659443 0.486510393631137 0.753295668549906 0.537257650081757 0.943396226415094 0.581395348837209 0.853242320819113 0.923593618807725 0.68649885583524 0.608365019011407 1.05173393973849 0.400200100050025 0.657354149548069 0.816326530612245 0.934579439252336 0.458540313335881 0.834403080872914 0.803571428571429 0.623052959501558 0.656167979002625 1.05355575065847 0.695786625434867 0.371440363186133 0.189035916824197 0.851788756388416 0.323362974939369 0.484261501210654 0.403551251008878 0.646551724137931 0.693842150910668 0.420757363253857 0.792393026941363 0.943396226415094 0.737327188940092 0.951474785918173 0.276625172890733
"ipse" 0.3690036900369 1.00979192166463 1.05263157894737 0.176912870411322 0.564971751412429 0.747488904461574 0.943396226415094 0.581395348837209 1.36518771331058 0.839630562552477 0.53394355453852 0.532319391634981 0.795906765207504 1.25062531265633 0.246507806080526 0.163265306122449 1.05919003115265 0.26748184944593 0.513478818998716 0.982142857142857 0.467289719626168 0.918635170603675 0.790166812993854 0.54116737533823 0.784151877837392 0.283553875236295 0.596252129471891 0.404203718674212 0.322841000807102 0.726392251815981 0.754310344827586 0.954032957502168 0.210378681626928 0.554675118858954 0.943396226415094 0.368663594470046 0.380589914367269 0.553250345781466
"uolo" 0.2460024600246 0.734394124847001 0.185758513931889 0.265369305616984 0.941619585687382 0.513898621817332 1.13207547169811 0.465116279069767 0 0.461796809403862 0.30511060259344 0.304182509505703 0.938032973280273 0.600300150075038 1.12298000547795 1.87755102040816 0.186915887850467 0.420328620557891 0.962772785622593 0.178571428571429 0.623052959501558 0 0.790166812993854 0.309238500193274 0.660338423442014 0.189035916824197 0.681431005110733 0.323362974939369 0.645682001614205 0.0807102502017756 0 0.780572419774501 0.210378681626928 1.18858954041204 1.13207547169811 1.19815668202765 0.856327307326356 0.553250345781466
"ergo" 0.615006150061501 0.703794369645043 1.23839009287926 0.796107916850951 0.502197112366604 0.583975706610605 0.849056603773585 0.581395348837209 0.511945392491468 0.419815281276238 0.83905415713196 1.14068441064639 0.412166003411029 0.500250125062531 0.273897562311695 0.163265306122449 1.1214953271028 0.611387084447841 0.577663671373556 0.803571428571429 0.623052959501558 0.5249343832021 0.614574187884109 0.811751063007344 0.742880726372266 0 0.511073253833049 0.889248181083266 0.322841000807102 0.403551251008878 1.07758620689655 0.607111882046834 0.841514726507714 0.475435816164818 0.849056603773585 0.737327188940092 0.570884871550904 0.4149377593361
"suus" 1.4760147601476 0.458996328029376 0.309597523219814 0.796107916850951 1.06716886377903 0.677411819668302 0 0.348837209302326 0.170648464163823 0.713685978169605 0.5720823798627 0.0760456273764259 0.611142694712905 1.00050025012506 0.629964393316899 0.571428571428571 0.311526479750779 0.878868933893772 1.09114249037227 0.714285714285714 0.467289719626168 0.26246719160105 1.05355575065847 0.54116737533823 0.288898060255881 0.0945179584120983 0.596252129471891 0.485044462409054 0.484261501210654 0.645682001614205 0.107758620689655 0.867302688638335 1.19214586255259 1.50554675118859 0 0.645161290322581 0.190294957183635 0.691562932226833
"habeo" 1.1070110701107 0.826193390452876 0.990712074303406 0.221141088014153 0.753295668549906 0.537257650081757 1.32075471698113 0.116279069767442 0.341296928327645 0.503778337531486 0.41952707856598 0.608365019011407 0.511654349061967 0.850425212606303 0.712133662010408 0.326530612244898 0.996884735202492 0.26748184944593 0.706033376123235 0.178571428571429 0.155763239875389 0.918635170603675 1.05355575065847 0.425202937765752 0.742880726372266 0.189035916824197 0.170357751277683 0.565885206143896 0 1.04923325262308 0.646551724137931 0.693842150910668 0.490883590462833 0.63391442155309 1.32075471698113 0.921658986175115 1.23691722169363 0.276625172890733
